month,pct,practice,name,address1,address2,address4,address5,postcode,total_pericyazine
2019-03-01,06W,D82024,TAVERHAM PARTNERSHIP,THE TAVERHAM P'SHIP/SURG,"SANDY LANE, TAVERHAM",,,NR8 6JR,19
2019-03-01,06V,D82025,HOVETON & WROXHAM MEDICAL CENTRE,HOVETON & WROXHAM MED CTR,"STALHAM ROAD, HOVETON",NORFOLK,,NR12 8DU,52
2019-03-01,06W,D82026,LAKENHAM SURGERY,THE LAKENHAM SURGERY,"1 NINHAM STREET, LAKENHAM",NORFOLK,,NR1 3JJ,104
2019-03-01,07J,D82027,HEACHAM GROUP PRACTICE,HEACHAM GROUP PRACTICE,"45 STATION ROAD, HEACHAM",NORFOLK,,PE31 7EX,2
2019-03-01,06V,D82028,LUDHAM AND STALHAM GREEN SURGERIES,THE SURGERY,"STAITHE ROAD, LUDHAM",NORFOLK,,NR29 5AB,18
2019-03-01,06V,D82029,DRAYTON MEDICAL PRACTICE,DRAYTON MEDICAL PRACTICE,"MANOR FARM CL, DRAYTON",NORFOLK,,NR8 6EE,102
2019-03-01,06V,D82030,REEPHAM & AYLSHAM MEDICAL PRACTICE,THE SURGERY,60 HUNGATE STREET,NORWICH,,NR11 6AA,30
2019-03-01,06Y,D82031,PARISH FIELDS PRACTICE,PARISH FIELDS PRACTICE,THE HEALTH CENTRE,NORFOLK,,IP22 4WG,11
2019-03-01,06V,D82032,BRUNDALL MEDICAL PARTNERSHIP,THE BRUNDALL MEDICAL CTR,"THE DALES, THE STREET",NORWICH,,NR13 5RP,37
2019-03-01,06Y,D82034,ATTLEBOROUGH SURGERY,ATTLEBOROUGH SURGERY,STATION ROAD,NORFOLK,,NR17 2AS,41
2019-03-01,07J,D82035,UPWELL HEALTH CENTRE,THE UPWELL HEALTH CENTRE,"TOWNLEY CLOSE,UPWELL",CAMBRIDGESHIRE,,PE14 9BT,2
2019-03-01,06Y,D82036,OLD MILL AND MILLGATES MEDICAL PRACTICE,OLD MILL SURGERY,"HARDLEY ROAD, PORINGLAND",NORFOLK,,NR14 7FA,18
2019-03-01,06Y,D82037,LONG STRATTON MEDICAL PARTNERSHIP,SWAN LANE SURGERY,LONG STRATTON,NORFOLK,,NR15 2UY,22
2019-03-01,06V,D82038,WELLS HEALTH CENTRE,THE HEALTH CENTRE,BOLTS CLOSE,NORFOLK,,NR23 1JP,12
2019-03-01,06Y,D82039,MATTISHALL SURGERY,MATTISHALL SURGERY,"15 DEREHAM RD, MATTISHALL",,,NR20 3QA,39
2019-03-01,06W,D82040,WENSUM VALLEY MEDICAL PRACTICE,WEST EARLHAM HEALTH CTR.,WEST EARLHAM,NORFOLK,,NR5 8AD,254
2019-03-01,06Y,D82042,E HARLING & KENNINGHALL MEDICAL PRACTICE,THE SURGERY,"MARKET ST, EAST HARLING",NORFOLK,,NR16 2AD,7
2019-03-01,07J,D82043,WATLINGTON MEDICAL CENTRE,WATLINGTON MEDICAL CENTRE,"ROWAN CLOSE,OFF FEN ROAD",NORFOLK,,PE33 0TU,2
2019-03-01,07J,D82044,VIDA HEALTHCARE,VIDA HEALTHCARE/GROADH&SC,GAYTON ROAD,NORFOLK,,PE30 4DY,15
2019-03-01,06Y,D82045,WYMONDHAM MEDICAL PARTNERSHIP,WYMONDHAM MEDICAL P/SHIP,WYMONDHAM MEDICAL CENTRE,"WYMONDHAM, NORFOLK",,NR18 0RF,19
2019-03-01,06Y,D82046,CHURCH HILL SURGERY,CHURCH HILL SURGERY,"STATION RD, PULHAM MARKET",NORFOLK,,IP21 4TX,56
2019-03-01,06W,D82047,OAK STREET MEDICAL PRACT.,OAK STREET MEDICAL PRACT.,OAK STREET,NORFOLK,,NR3 3DL,121
2019-03-01,06W,D82048,THORPEWOOD MEDICAL GROUP,THORPEWOOD MEDICAL GROUP,WOODSIDE ROAD,NORWICH,,NR7 9QL,70
2019-03-01,06Y,D82050,THEATRE ROYAL SURGERY,THEATRE ROYAL SURGERY,27 THEATRE STREET,NORFOLK,,NR19 2EN,74
2019-03-01,07J,D82051,ST JAMES MEDICAL PRACTICE,ST.JAMES' MEDICAL PRACT.,COUNTY COURT ROAD,NORFOLK,,PE30 5SY,27
2019-03-01,06V,D82053,MUNDESLEY MEDICAL CENTRE,MUNDESLEY MEDICAL CENTRE,MUNHAVEN CLOSE,NORFOLK,,NR11 8AR,56
2019-03-01,06V,D82054,FAKENHAM MEDICAL PRACTICE,FAKENHAM MEDICAL PRACTICE,"MEDITRINA HSE,TRINITY RD",NORFOLK,,NR21 8SY,48
2019-03-01,06Y,D82056,ELMHAM SURGERY,THE ELMHAM SURGERY,"59 HOLT RD, NORTH ELMHAM",NORFOLK,,NR20 5JS,31
2019-03-01,07J,D82057,CAMPINGLAND SURGERY,THE CAMPINGLAND SURGERY,CAMPINGLAND,NORFOLK,,PE37 7RD,3
2019-03-01,06M,D82058,COASTAL VILLAGES PRACTICE,COASTAL VILLAGES PRACTICE,ORMESBY VILLAGE SURGERY,"GREAT YARMOUTH, NORFOLK",,NR29 3RW,41
2019-03-01,06V,D82059,BIRCHWOOD MEDICAL PRACTICE,BIRCHWOOD SURGERY,PARK LANE,NORFOLK,,NR28 0BQ,29
2019-03-01,06W,D82060,BACON ROAD MEDICAL CENTRE,BACON ROAD MEDICAL CENTRE,16 BACON ROAD,NORFOLK,,NR2 3QX,62
2019-03-01,06V,D82062,COLTISHALL MEDICAL PRACTICE,COLTISHALL MEDICAL PRACT,"ST.JOHN'S CL, RECTORY RD",NORWICH,,NR12 7HA,52
2019-03-01,06Y,D82063,WATTON MEDICAL PRACTICE,WATTON MEDICAL PRACTICE,24 GREGOR SHANKS WAY,NORFOLK,,IP25 6FA,57
2019-03-01,06Y,D82064,HUMBLEYARD PRACTICE,THE CRINGLEFORD SURGERY,"CANTLEY LANE, CRINGLEFORD",,,NR4 6TA,56
2019-03-01,07J,D82065,MANOR FARM MEDICAL CENTRE,MANOR FARM MEDICAL CENTRE,MANGATE STREET,NORFOLK,,PE37 7QN,8
2019-03-01,06V,D82066,PASTON SURGERY,PASTON SURGERY,9-11 PARK LANE,NORFOLK,,NR28 0BQ,50
2019-03-01,06M,D82067,THE PARK SURGERY,THE PARK SURGERY,4 ALEXANDRA ROAD,NORFOLK,,NR30 2HW,81
2019-03-01,07J,D82068,HOWDALE SURGERY,THE HOWDALE SURGERY,HOWDALE ROAD,NORFOLK,,PE38 9AF,5
2019-03-01,06W,D82069,NEWMARKET ROAD SURGERY,NEWMARKET ROAD SURGERY,7 NEWMARKET ROAD,NORFOLK,,NR2 2HL,11
2019-03-01,07J,D82070,GREAT MASSINGHAM SURGERY,GREAT MASSINGHAM SURGERY,STATION ROAD,NORFOLK,,PE32 2JQ,4
2019-03-01,06W,D82071,EAST NORWICH MEDICAL PARTNERSHIP,ST WILLIAMS WAY,THORPE ST ANDREW,NORFOLK,,NR7 0AJ,50
2019-03-01,07J,D82072,BURNHAM SURGERY,THE BURNHAMS SURGERY,CHURCH WALK,NORFOLK,,PE31 8DH,16
2019-03-01,06W,D82073,THE LIONWOOD MEDICAL PRACTICE,30A WELLESLEY AVE NORTH,NORWICH,,,NR1 4NU,46
2019-03-01,06W,D82076,LAWSON ROAD SURGERY,LAWSON ROAD SURGERY,THE HEALTH CENTRE,NORWICH,,NR3 4LE,32
2019-03-01,06Y,D82078,HEATHGATE MEDICAL PRACTICE,HEATHGATE SURGERY,"THE STREET,PORINGLAND",NORFOLK,,NR14 7JT,11
2019-03-01,07J,D82079,FELTWELL SURGERY,THE SURGERY,"OLD BRANDON ROAD,FELTWELL",NORFOLK,,IP26 4AY,2
2019-03-01,06V,D82080,BLOFIELD SURGERY,THE BLOFIELD SURGERY,PLANTATION ROAD,NORFOLK,,NR13 4PL,11
2019-03-01,06Y,D82084,HARLESTON MEDICAL PRACTICE,HARLESTON MEDICAL PRACT.,BULLOCK FAIR CLOSE,NORFOLK,,IP20 9AT,25
2019-03-01,06Y,D82085,HINGHAM SURGERY,HINGHAM SURGEY,"HARDINGHAM ST, HINGHAM",NORFOLK,,NR9 4JB,12
2019-03-01,06W,D82087,PROSPECT MEDICAL PRACTICE,PROSPECT MEDICAL PRACTICE,95 AYLSHAM ROAD,NORFOLK,,NR3 2HW,125
2019-03-01,06W,D82088,UEA MEDICAL CENTRE,"UEA MEDICAL CTR,UNIV OF","EAST ANGLIA,EARLHAM ROAD",NORFOLK,,NR4 7TJ,22
2019-03-01,06W,D82096,WOODCOCK RD SURGERY,WOODCOCK ROAD SURGERY,29 WOODCOCK ROAD,NORFOLK,,NR3 3UA,72
2019-03-01,07J,D82099,SOUTHGATES SURGICAL & MEDICAL CENTRE,SOUTHGATES MED & SURG CTR,41 GOODWINS ROAD,NORFOLK,,PE30 5QX,53
2019-03-01,06Y,D82100,SHIPDHAM SURGERY,SHIPDHAM SURGERY,"CHAPEL STREET, SHIPDHAM",NORFOLK,,IP25 7LA,10
2019-03-01,06V,D82104,ACLE MEDICAL PARTNERSHIP,ACLE MEDICAL PARTNERSHIP,"BRIDEWELL LANE, ACLE",NORFOLK,,NR13 3RA,22
2019-03-01,07J,D82105,ST CLEMENTS SURGERY,ST CLEMENT'S SURGERY,CHURCHGATE WAY,NORFOLK,,PE34 4LZ,7
2019-03-01,06W,D82106,WEST POTTERGATE MED PRAC,WEST POTTERGATE MED. PRAC,"THE HLTH CTRE, EARLHAM RD",NORFOLK,,NR2 4BX,9
2019-03-01,06M,D82600,FLEGGBURGH SURGERY,THE SURGERY,"MILL LANE, FLEGGBURGH",NORFOLK,,NR29 3AW,2
2019-03-01,07J,D82618,THE WOOTTONS SURGERY,THE WOOTTONS SURGERY,SPRING COTTAGE,"KING'S LYNN, NORFOLK",,PE30 3PT,9
2019-03-01,07J,D82621,PLOWRIGHT MEDICAL CENTRE,PLOWRIGHT MEDICAL CENTRE,1 JACK BODDY WAY,NORFOLK,,PE37 7HJ,2
2019-03-01,06Y,D82624,WINDMILL SURGERY,WINDMILL SURGERY,LONDON ROAD,NORFOLK,,NR18 0AF,20
2019-03-01,06V,D82628,ALDBOROUGH SURGERY,THE SURGERY,"CHAPEL ROAD, ALDBOROUGH",NORFOLK,,NR11 7NP,5
2019-03-01,06M,D83002,ALEXANDRA & CRESTVIEW SURGERIES,ALEXANDRA ROAD SURGERY,ALEXANDRA ROAD,SUFFOLK,,NR32 1PL,61
2019-03-01,06M,D83009,BECCLES MEDICAL CENTRE,BECCLES MEDICAL CENTRE,ST.MARY'S ROAD,SUFFOLK,,NR34 9NX,40
2019-03-01,06M,D83010,LONGSHORE SURGERIES,KESSINGLAND SURGERY,"FIELD LANE, KESSINGLAND",SUFFOLK,,NR33 7QA,31
2019-03-01,06M,D83011,BRIDGE ROAD SURGERY,THE SURGERY,"1A BRIDGE RD,OULTON BROAD",SUFFOLK,,NR32 3LJ,17
2019-03-01,06M,D83016,VICTORIA ROAD SURGERY,82 VICTORIA ROAD,OULTON BROAD,SUFFOLK,,NR33 9LU,3
2019-03-01,06L,D83017,NEEDHAM MARKET COUNTRY PRACTICE,NEEDHAM MARKET COUNTRY PR,"BARKING RD,NEEDHAM MARKET",,,IP6 8EZ,4
2019-03-01,07K,D83018,MARKET CROSS SURGERY,THE MARKET CROSS SURGERY,"7 MARKET PLACE,MILDENHALL",SUFFOLK,,IP28 7EG,3
2019-03-01,06M,D83022,SOLE BAY H/C,SOLE BAY H/C,TEAL CLOSE,SUFFOLK,,IP18 6GY,2
2019-03-01,06M,D83023,HIGH STREET SURGERY,THE SURGERY,HIGH STREET,SUFFOLK,,NR32 1JE,59
2019-03-01,06L,D83028,LEISTON SURGERY,THE SURGERY,MAIN STREET,SUFFOLK,,IP16 4ES,2
2019-03-01,06M,D83030,KIRKLEY MILL HEALTH CENTRE,KIRKLEY MILL SURGERY,"KIRKLEY RISE, CLIFTON RD",SUFFOLK,,NR33 0HF,19
2019-03-01,06M,D83034,BUNGAY MEDICAL CENTRE,BUNGAY MEDICAL CENTRE,28 ST JOHNS ROAD,SUFFOLK,,NR35 1LP,29
2019-03-01,06M,D83035,CUTLERS HILL SURGERY,CUTLERS HILL SURGERY,BUNGAY ROAD,SUFFOLK,,IP19 8SG,32
2019-03-01,06L,D83037,HADLEIGH BOXFORD GROUP PRACTICE,HADLEIGH HEALTH CENTRE,"MARKET PLACE, HADLEIGH",SUFFOLK,,IP7 5DN,5
2019-03-01,06L,D83044,STOWHEALTH,"STOWHEALTH, VIOLET HOUSE",VIOLET HILL ROAD,SUFFOLK,,IP14 1NL,2
2019-03-01,06M,D83047,ROSEDALE SURGERY,ROSEDALE SURGERY,ASHBURNHAM WAY,"LOWESTOFT,SUFFOLK",,NR33 8LG,18
2019-03-01,06L,D83048,GROVE MEDICAL CENTRE,GROVE MEDICAL CENTRE,GROVE ROAD,SUFFOLK,,IP11 9GA,2
2019-03-01,06L,D83049,LITTLE ST JOHN STREET SURGERY,7 LITTLE ST JOHN'S STREET,WOODBRIDGE,,,IP12 1EE,2
2019-03-01,07K,D83062,FOREST SURGERY,FOREST SURGERY,BURY ROAD,SUFFOLK,,IP27 0BU,3
2019-03-01,06L,D83079,COMBS FORD SURGERY,COMBS FORD SURGERY,COMBS LANE,SUFFOLK,,IP14 2SY,2
2019-03-01,06M,D83608,ANDAMAN SURGERY,ANDAMAN SURGERY,303 LONG ROAD,SUFFOLK,,NR33 9DF,10
2019-03-01,06F,E81008,WHEATFIELD SURGERY,WHEATFIELD SURGERY,60 WHEATFIELD ROAD,BEDFORDSHIRE,,LU4 0TR,3
2019-03-01,06F,E81012,GREENSANDS (POTTON),GREENSANDS MEDICAL PRACT.,BROOK END SURGERY,BEDFORDSHIRE,,SG19 2QS,2
2019-03-01,06F,E81033,SHEFFORD HEALTH CENTRE,ROBERT LUCAS DRIVE,HITCHIN ROAD,BEDFORDSHIRE,,SG17 5FS,2
2019-03-01,06K,E82053,BANCROFT MEDICAL CENTRE,BANCROFT COURT,30-35 BANCROFT,HERTFORDSHIRE,,SG5 1LH,4
2019-03-01,06K,E82062,HALL GROVE GROUP PRACTICE,HALL GROVE PRACTICE,4 HALL GROVE,HERTFORDSHIRE,,AL7 4PL,4
2019-03-01,99F,F81007,"DR PUZEY,DR KOTHARI AND DR NANDA",THE PUZEY FAMILY PRACTICE,"SOUTHWELL HOUSE,BACK LANE",ESSEX,,SS4 1AY,10
2019-03-01,99F,F81096,OAKLANDS SURGERY,CENTRAL CANVEY PCC,LONG ROAD,ESSEX,,SS8 0JA,2
2019-03-01,99F,F81123,AUDLEY MILLS SURGERY,AUDLEY MILLS SURGERY,57 EASTWOOD ROAD,ESSEX,,SS6 7JF,4
2019-03-01,99G,F81176,NORTH AVENUE SURGERY,332 NORTH AVENUE,SOUTHEND-ON-SEA,,,SS2 4EQ,4
2019-03-01,08M,F84006,THE SHREWSBURY CENTRE,SHREWSBURY ROAD HLTH CTR,SHREWSBURY ROAD,LONDON,,E7 8QP,8
2019-03-01,08M,F84052,ESSEX LODGE,ESSEX LODGE,94 GREENGATE STREET,LONDON,,E13 0AS,2
2019-03-01,08D,F85034,ARCADIAN GARDENS SURGERY,1 ARCADIAN GARDENS,WOOD GREEN,LONDON,,N22 5AB,4
2019-03-01,99K,G81037,THE MEADS SURGERY,BELL FARM ROAD,UCKFIELD,,,TN22 1BA,3
2019-03-01,09P,G81039,LITTLE COMMON SURGERY,82 COODEN SEA ROAD,LITTLE COMMON,EAST SUSSEX,,TN39 4SP,2
2019-03-01,99K,G81061,CHAPEL STREET SURGERY,CHAPEL STREET SURGERY,CHAPEL STREET,EAST SUSSEX,,BN9 9PW,4
2019-03-01,10A,G82002,ST JAMES' SURGERY,ST JAMES' SURGERY,HAROLD STREET,KENT,,CT16 1SF,2
2019-03-01,08Q,G85001,FOREST HILL GROUP PRACTICE,THE FOREST HILL GRP PRACT,1 FOREST HILL ROAD,LONDON,,SE22 0SQ,4
2019-03-01,08K,G85014,STREATHAM COMMON GROUP PRACTICE,STREATHAM COMMON GRP PRAC,ST.ANDREW'S HALL,"STREATHAM, LONDON",,SW16 5LS,4
2019-03-01,09L,H81045,CATERHAM VALLEY MED.PRACT,CATERHAM VALLEY MED.PRACT,"EOTHEN HOUSE,EOTHEN CLOSE",SURREY,,CR3 6JU,10
2019-03-01,09L,H81083,MOAT HOUSE SURGERY,THE MOAT HOUSE,WORSTED GREEN,SURREY,,RH1 3PN,2
2019-03-01,99H,H81133,THE INTEGRATED CARE PARTNERSHIP,THE OLD COTTAGE HPL SURG,"ALEXANDRA ROAD, EWELL",SURREY,,KT17 4BL,4
2019-03-01,09X,H82040,CRAWLEY DOWN HEALTH CENTRE,THE HEALTH CENTRE,BOWERS PLACE,WEST SUSSEX,,RH10 4HY,4
2019-03-01,07V,H83024,WOODCOTE MEDICAL,WOODCOTE MEDICAL,32 FOXLEY LANE,SURREY,,CR8 3EE,4
2019-03-01,08P,H84623,HAMPTON HILL MEDICAL CENTRE,HAMPTON HILL MED CENTRE,94-102 HIGH STREET,MIDDLESEX,,TW12 1NY,9
2019-03-01,08X,H85075,THE HAIDER PRACTICE,THE HAIDER PRACTICE,162 ST JOHNS HILL,LONDON,,SW11 1SW,8
2019-03-01,08R,H85656,ALEXANDRA SURGERY,ALEXANDRA SURGERY,39 ALEXANDRA ROAD,LONDON,,SW19 7JZ,3
2019-03-01,11A,J82018,STOKEWOOD SURGERY,STOKEWOOD SURGERY,"FAIR OAK ROAD, FAIR OAK",HAMPSHIRE,,SO50 8AU,11
2019-03-01,10K,J82023,THE WHITELEY SURGERY,THE WHITELEY SURGERY,"YEW TREE DRIVE, WHITELEY",HAMPSHIRE,,PO15 7LB,2
2019-03-01,11A,J82035,ST CLEMENTS PARTNERSHIP,ST.CLEMENTS SURGERY,TANNER STREET,HAMPSHIRE,,SO23 8AD,4
2019-03-01,10R,J82055,CRANESWATER GROUP PRACTICE,THE SURGERY,"36 WAVERLEY ROAD,SOUTHSEA",HAMPSHIRE,,PO5 2PW,4
2019-03-01,10J,J82069,ACORN HEALTH PARTNERSHIP,GILLIES HEALTH CENTRE,"SULLIVAN RD,BRIGHTON HILL",HAMPSHIRE,,RG22 4EH,10
2019-03-01,11N,L82006,PENRYN SURGERY,THE PENRYN SURGERY,SARACEN WAY,CORNWALL,,TR10 8HX,2
2019-03-01,11N,L82016,OAK TREE SURGERY,OAK TREE SURGERY,CLEMO ROAD,CORNWALL,,PL14 3XA,8
2019-03-01,11N,L82028,THREE SPIRES MEDICAL PRACTICE,TRURO HEALTH PARK,INFIRMARY HILL,CORNWALL,,TR1 2JA,3
2019-03-01,11N,L82046,SALTASH HEALTH CENTRE,SALTASH HEALTH CENTRE,CALLINGTON ROAD,CORNWALL,,PL12 6DL,3
2019-03-01,11N,L82050,ROSEDEAN SURGERY,ROSEDEAN SURGERY,8 DEAN STREET,CORNWALL,,PL14 4AQ,6
2019-03-01,11N,L82620,HARRIS MEMORIAL SURGERY,HARRIS MEMORIAL SURGERY,"ROBARTES TERRACE, ILLOGAN",CORNWALL,,TR16 4RX,5
2019-03-01,15N,L83034,ALBANY SURGERY,GRACE HOUSE,SCOTT CLOSE,DEVON,,TQ12 1GJ,2
2019-03-01,11X,L85001,FRENCH WEIR HEALTH CENTRE,FRENCH WEIR HEALTH CENTRE,FRENCH WEIR AVENUE,SOMERSET,,TA1 1NW,6
2019-03-01,11X,L85009,WEST SOMERSET HEALTHCARE,WEST SOMERSET HEALTHCARE,"WILLITON SURG, ROBERT ST",SOMERSET,,TA4 4QE,3
